time,Open,OYO,Sigma,HL_in,CO_in,Sigma_in
2017-01-10,901.88,0.0,0.0,8.850000000000023,-8.850000000000023,0.0
2017-01-11,893.03,0.0,3.914583935912529,7.430000000000064,7.430000000000064,0.0
2017-01-12,900.46,0.0,3.286481202692685,121.33000000000004,-121.33000000000004,0.0
2017-01-13,779.13,0.0,53.66739762082103,43.870000000000005,43.870000000000005,0.0
2017-01-14,823.0,0.0,19.404835849546014,1.669999999999959,-1.669999999999959,0.0
2017-01-15,821.33,0.0,0.7386842003360166,0.3300000000000409,-0.3300000000000409,0.0
2017-01-16,821.0,0.0,0.14596753659336625,3.909999999999968,-3.909999999999968,0.0
2017-01-17,817.09,0.0,1.7294941456969293,18.709999999999923,18.709999999999923,0.0
2017-01-18,835.8,0.0,8.275916998974342,64.33000000000004,64.33000000000004,0.0
2017-01-19,900.13,0.0,28.454823118333614,19.720000000000027,-19.720000000000027,0.0
2017-01-20,880.41,0.0,8.722666126123727,5.600000000000023,5.600000000000023,0.0
2017-01-21,886.01,0.0,2.477024863402282,10.490000000000009,10.490000000000009,0.0
2017-01-22,896.5,0.0,4.639998360194617,24.110000000000014,24.110000000000014,0.0
2017-01-23,920.61,0.0,10.664476688683715,10.379999999999995,-10.379999999999995,0.0
2017-01-24,910.23,0.0,4.591342514663495,1.1499999999999773,1.1499999999999773,0.0
2017-01-25,911.38,0.0,0.508674748734385,26.600000000000023,-26.600000000000023,0.0
2017-01-26,884.78,0.0,11.7658681011608,9.240000000000009,9.240000000000009,0.0
2017-01-27,894.02,0.0,4.087091024613753,22.980000000000018,22.980000000000018,0.0
2017-01-28,917.0,0.0,10.164648457318616,6.389999999999986,6.389999999999986,0.0
2017-01-29,923.39,0.0,2.826462299489372,0.5,0.5,0.0
2017-01-30,923.89,0.0,0.2211629342323457,10.330000000000041,-10.330000000000041,0.0
2017-01-31,913.56,0.0,4.56922622124028,5.440000000000055,5.440000000000055,0.0
2017-02-01,919.0,0.0,2.4062527244479455,40.200000000000045,40.200000000000045,0.0
2017-02-02,959.2,0.0,17.781499912280616,20.799999999999955,20.799999999999955,0.0
2017-02-03,980.0,0.0,9.20037806406556,13.419999999999959,13.419999999999959,0.0
2017-02-04,993.42,0.0,5.93601315479614,25.0,25.0,0.0
2017-02-05,1018.42,0.0,11.058146711617285,3.7200000000000273,3.7200000000000273,0.0
2017-02-06,1022.14,0.0,1.645452230688664,10.269999999999982,-10.269999999999982,0.0
