high,low,open,volumefrom,volumeto,close
5364.46,5350.3,5354.18,8372.95,44852729.77,5352.76
5396.23,5351.69,5352.76,14040.74,75499208.84,5394.97
5395.98,5356.11,5394.97,14486.88,77733814.71,5364.98
5372.18,5344.53,5364.98,12430.4,66618057.04,5365.07
5376.2,5362.45,5365.07,8894.16,47767629.4,5373.97
5377.33,5359.88,5373.97,9471.78,50829256.63,5364.71
5371.19,5355.64,5364.71,9379.35,50310187.09,5365.38
5392.05,5365.06,5365.38,10097.23,54300444.9,5385.86
5391.55,5377.59,5385.86,8705.06,46869840.62,5381.9
5387.04,5376.76,5381.9,8969.46,48265975.33,5378.68
5388.35,5378.18,5378.68,9017.61,48549476.63,5383.27
5387.3,5381.07,5383.27,9326.34,50216527.83,5386.44
5386.44,5369.83,5386.44,10467.13,56292613.88,5382.43
5392.21,5380.91,5382.43,9727.76,52403508.57,5389.53
5392.52,5385.57,5389.53,9677.33,52156106.03,5390.89
5409.81,5390.85,5390.89,14477.84,78200604.91,5406.08
5447.11,5405.64,5406.08,13507.79,73241351.71,5445.75
5458.05,5421.72,5445.75,16483.68,89625474.31,5424.35
5446.51,5422.02,5424.35,12523.67,68047923.9,5436.3
5447.76,5434.26,5436.3,9899.49,53873428.78,5445.26
5461.64,5437.5,5445.26,8225.4,44817365.95,5453.22
5464.97,5425.65,5453.22,18565.73,101046281.22,5463.93
5494.97,5459.32,5463.93,23075.67,126447317.04,5492.73
5529.94,5492.66,5492.73,22210.64,122577500.24,5523.27
5534.7,5477.19,5523.27,18547.66,102026286.03,5487.15
5506.63,5486.13,5487.15,10910.63,60004494.37,5498.99
5506.35,5497.14,5498.99,9776.26,53782018.38,5497.72
5513.91,5496.43,5497.72,11466.01,63138831.68,5505.21
5511.53,5496.82,5505.21,12880.4,70913247.17,5510.93
5518.5,5497.6,5510.93,9145.62,50379252.32,5500.92
5504.46,5489.05,5500.92,13645.94,75004766.35,5497.13
5509.55,5495.29,5497.13,12558.62,69110715.41,5495.58
5527.24,5481.56,5495.58,17856.13,98287546.74,5527.22
5559.9,5526.43,5527.22,19256.05,106725426.92,5556.65
5595.86,5555.18,5556.65,18449.88,102841976.89,5589.89
5590.72,5565.19,5589.89,13319.64,74283991.03,5579
5602.4,5567.64,5579,14642.28,81806949.93,5588.06
5599.52,5579.19,5588.06,11578.23,64731807.72,5596.15
5652.6,5596.06,5596.15,32764.53,184342788.88,5625.66
5696.16,5625.66,5625.66,24641.79,139535385.85,5694.01
5790.27,5659.27,5694.01,31847.5,182287276.91,5762.63
5839.72,5724.84,5762.63,37847.61,218479557.28,5829.62
5830.81,5731.31,5829.62,26463.85,152838255.2,5736.23
5768.98,5725.99,5736.23,20685.43,118892138.46,5751.19
5791.56,5750.19,5751.19,16974.31,97981167.21,5765.77
5818.49,5765.66,5765.77,17235.5,99940669.67,5805.94
5840.95,5789.33,5805.94,17773.25,103482572.69,5794.68
5800.49,5771.85,5794.68,15895.09,91955541.58,5786.57
5803.37,5762.58,5786.57,14460.5,83666937.49,5764.8
5776.47,5728.26,5764.8,18011.19,103541394.79,5746.58
5771.58,5728.7,5746.58,11993.36,68913025.86,5763.07
5766.29,5749.99,5763.07,11375,65507623.33,5756.58
5796.95,5756.57,5756.58,13309.31,76963109.68,5781.14
5792.28,5758.16,5781.14,10298.25,59486242.03,5786.47
5786.47,5745.27,5786.47,14275.07,82285764.63,5783.11
5783.11,5756.63,5783.11,12452.02,71849654.89,5769.8
5848.56,5769.8,5769.8,19736.28,114884012.5,5833.64
5901.71,5812.02,5833.64,20309.25,118935887.91,5884.8
5896.13,5862.64,5884.8,17930.08,105387339.48,5876.03
5886.03,5817.24,5876.03,14973.48,87714339.72,5842.51
5843.11,5780.44,5842.51,20403.43,118510955.2,5803.09
5812.51,5781.27,5803.09,16182.16,93767856.85,5785.83
5802.96,5761.25,5785.83,17079.93,98746590.11,5802.96
5827.69,5801.28,5802.96,15760.25,91616029.2,5815.62
5815.93,5798.47,5815.62,12196.86,70813854.75,5806.88
5819.83,5782.91,5806.88,15261.37,88569343.67,5784.75
5790.58,5758.15,5784.75,13892.03,80241605.29,5771.04
5802.08,5770.35,5771.04,11393.07,65951714.64,5789.76
5793.7,5762.62,5789.76,11198.78,64705721.06,5774.03
5778.68,5626.44,5774.03,28675.41,163481219.59,5632.22
5669.64,5603.33,5632.22,21398.29,120865105.17,5657.23
5670.17,5640.52,5657.23,14130.18,79910372.3,5641.35
5673.14,5628.03,5641.35,14489.56,81984454.7,5667.56
5691.85,5659.53,5667.56,10544.97,59876164.63,5679.63
5680.94,5660.87,5679.63,10252.92,58122543.06,5669.44
5685.68,5666.41,5669.44,11505.82,65288502.6,5677.69
5757.99,5677.69,5677.69,15153.95,86607902.76,5755.85
5846.92,5754.6,5755.85,26315.55,152977737.83,5817.2
5858.76,5809.52,5817.2,17058.71,99575212.43,5854.84
5870.3,5822.15,5854.84,14572.11,85123265.41,5830.46
5837.47,5766.05,5830.46,17348.34,100551221.98,5809.63
5809.88,5776.35,5809.63,12865.31,74543638.22,5790.84
5833.44,5789.82,5790.84,13941.95,80993799.43,5801.51
5819.38,5790.24,5801.51,11066.42,64267304.1,5813.23
5813.23,5781.01,5813.23,11558.97,66992147.56,5790.93
5825.89,5790.82,5790.93,11126.14,64580524.37,5817.55
5828.2,5789.61,5817.55,14793.13,85901363.12,5799.36
5806.14,5742.57,5799.36,16583.83,95772912.51,5753.37
5779.05,5722.76,5753.37,15910.75,91504961.87,5772.16
5786.57,5756.4,5772.16,12579.26,72630645.72,5759.32
5794.73,5748.18,5759.32,14168.13,81733231.2,5793.98
5796.25,5759.86,5793.98,11958.06,69087383.52,5765.31
5797.5,5765.31,5765.31,12671.37,73266786.68,5791.16
5804.1,5765.14,5791.16,13180.96,76240597.03,5783.89
