high,low,open,volumefrom,volumeto,close
6555.08,6542.82,6547.21,4564.22,29896697.06,6550.72
6554.11,6546.18,6550.76,4255.52,27875071.63,6547.92
6561.1,6547.19,6547.92,4620.29,30277357.29,6559.62
6561.42,6550.4,6559.75,3821.11,25049986.78,6553.25
6554.25,6543.78,6553.06,3797.77,24867589.23,6547.12
6548.79,6537.6,6547.1,4711.03,30818817.08,6540.1
6557.21,6539.83,6540.36,3311.86,21690004.64,6556.13
6557.51,6531.6,6556.25,4849.44,31720306.73,6532.34
6543.95,6528.47,6532.39,4211.87,27538115.34,6538.83
6543.41,6530.36,6538.7,3792.11,24795848.44,6534.06
6537.18,6531.2,6534.06,4618.24,30173473.49,6533.27
6537.36,6529.12,6533.13,5895.01,38522205.93,6530.41
6534.2,6524.89,6530.12,6566.36,42871500.76,6529.63
6542.55,6528.08,6529.63,5755.49,37616510.03,6537.39
6541.68,6536.5,6536.79,4665.71,30502413.28,6538.32
6539.33,6523.01,6538.78,5433.57,35498502.31,6533.59
6590.34,6527.44,6533.46,6050.63,39630540.48,6583.73
6585.11,6559.57,6583.74,5617.02,36896699.15,6562.39
6563.32,6551.24,6561.91,4810.7,31534904.72,6553.93
6562.18,6552.89,6553.92,4029.73,26427212.41,6555.55
6558.95,6541.42,6556.14,4363.19,28568519.24,6542.82
6544.76,6529.35,6542.56,4810.34,31450077.54,6532.29
6538.78,6518.56,6532.2,4874.34,31826079.19,6537.57
6548.89,6532.27,6537.56,5172.19,33823577.5,6541.54
6552.94,6539.38,6541.88,4720.17,30897596.93,6549.11
6553.71,6544.98,6549.29,3576.18,23417256.86,6546.09
6549.82,6535.82,6546.07,3540.22,23158814.06,6538.02
6545.14,6537.81,6538.22,3665.31,23974857.71,6541.14
6547.11,6539.03,6541.58,3703.25,24232018.94,6543.47
6544.48,6534.07,6543.66,3651.84,23878604.82,6538.12
6542.71,6537.36,6538.47,2943.48,19251619.06,6540.42
6543.5,6528.24,6540.65,3596,23503277.79,6538.75
6545.4,6537.48,6539.01,3230.01,21129398.5,6543.87
6548.15,6541.72,6543.99,3343.42,21881189.06,6545.42
6547.08,6540.23,6545.27,3835.72,25100438.97,6543.85
6554.86,6540.33,6544.06,4201.83,27511923.92,6548.06
6552.83,6541.88,6549.35,3771.22,24690642.66,6547.21
6549.37,6541.57,6547.1,3574.69,23397067.77,6542.74
6547.8,6540.37,6544.88,3069.34,20086621.77,6546.12
6548.56,6543.47,6545.67,2668.4,17468172.28,6544.99
6547.09,6539.14,6544.98,3227.65,21123632.4,6540.96
6550.53,6534.15,6541.08,3751.58,24540995.42,6546.34
6547.73,6533.96,6546.34,3905.76,25549396.11,6535.94
6540.84,6533.54,6535.94,3515.23,22979358.69,6536.22
6538.17,6533.1,6535.98,3332.61,21781701.48,6536.41
6541.61,6524.36,6536.57,4076.29,26635989.96,6527.06
6526.9,6510.71,6526.9,5210.11,33964956.17,6513.45
6516.46,6481.3,6513.37,5277.68,34313613.13,6495.13
6500.36,6483.25,6495.3,5016.39,32553237.22,6500.36
6504.62,6494.54,6499.83,3867.05,25133480,6497.38
6497.98,6487.19,6497.2,3328.12,21612168.89,6488.92
6493.79,6486.33,6488.92,3620.7,23502664.85,6491.19
6495.24,6485.6,6491.64,4205.19,27291763.84,6492.98
6507.87,6493.18,6493.52,4955.81,32212758.59,6506.23
6506.85,6497.22,6506.41,4550.7,29594124.23,6501.62
6505.82,6498.5,6501.58,3926,25524942.98,6505.6
6505.69,6497.17,6505.59,3762.18,24458851.61,6497.96
6501.17,6497.13,6497.88,3370.39,21905729.56,6498.75
6503.34,6497.49,6498.66,3102.34,20168865.97,6501.86
6504.42,6497.68,6501.65,3205.53,20840728.67,6500.46
6505.66,6499.2,6500.17,3137.92,20403224.15,6502.65
6510.89,6501.94,6502.57,2598.65,16905974.25,6510.22
6512.39,6499.36,6510.21,2904.09,18900892.77,6501.07
6503.51,6486.44,6500.41,3593.86,23343057.49,6494.14
6495.02,6485.68,6494.21,2384.86,15475774.56,6494.11
6497.27,6490.64,6494.2,2401.31,15594115.51,6494.2
6496.16,6486,6494.2,2797.9,18157802.66,6490.09
6494.09,6489.4,6490.19,3184.9,20673359.33,6492.14
6500.85,6490.28,6492.12,2963.45,19251766.65,6498.58
6510.28,6497.34,6498.34,3358,21836464.98,6506.09
6507.93,6499.27,6506.09,4151.13,26998922.95,6504.69
6507.01,6490.77,6504.69,7125.71,46335058.45,6492.74
6492.76,6481.44,6492.76,5011.72,32519837.3,6492.37
6497.87,6489.73,6492.49,4763.94,30936258.91,6490.54
6490.74,6479.7,6490.35,5177.87,33567347.09,6481.62
6486.91,6472.53,6481.64,5200.6,33713764.02,6475.13
6482.66,6466.28,6474.97,5880.98,38076972.84,6478.17
6481.3,6471.33,6478.7,4587.69,29711393.56,6474.67
6480,6472.59,6474.67,4919.1,31855024.9,6475.74
6498.44,6475.65,6475.95,4907.3,31847597.46,6487.89
6492.86,6485.54,6487.57,3178.13,20624654.34,6492.03
6492.57,6482.12,6492.03,3944.68,25592572.53,6490.56
6498.75,6487.24,6490.4,4086.07,26523414.28,6495.52
6500.03,6491.37,6495.7,4048.04,26299102.2,6497.49
6498.69,6493.16,6497.39,3488.65,22663020.83,6495.43
6498.35,6491.96,6495.04,3693.82,23994519.35,6496.81
6498.46,6493.16,6496.48,3085.56,20043781.7,6497.1
6500.99,6495.13,6497.08,2752.97,17889697.2,6498.79
6501.12,6494.55,6498.87,3742.02,24312746.57,6499
6499.8,6487.18,6498.09,3732.65,24242075.45,6488.34
6495.05,6487.57,6488.33,5361.06,34802255.38,6491.87
6493.28,6409.08,6491.94,9778.62,62928615.9,6424.07
6426.18,6322.8,6425.15,10041.97,64042217.42,6355.42
6390.86,6354.27,6355.44,7129.79,45419033.63,6369.03
6377.92,6362.31,6369.16,5755.52,36657775.41,6366.82
6381.16,6365.46,6366.68,4759.4,30338163.06,6380.33
6382.4,6364.02,6380.38,5397.94,34381065.44,6368.82
6370.66,6353.93,6368.77,5253.98,33416092.67,6355.73
6363.02,6354.42,6355.74,4655.6,29604179.14,6362.01
6362.56,6334.65,6362.01,5227.07,33196813.87,6340.61
6351.06,6328.47,6341.39,5210.56,33053463.67,6334.93
6341.84,6318.54,6335.33,5009.21,31695034.58,6323.45
6346.36,6322.62,6323.73,5796.16,36720307.15,6344.49
6347.47,6340.32,6344.57,4891.84,31033529.31,6346.53
6360.01,6344.06,6346.42,4090.54,25991590.47,6355.9
6360.49,6343.5,6355.52,4327.49,27489101.11,6346.32
6360.5,6344.94,6346.32,4662.17,29616864.44,6356.89
6373.77,6355.15,6356.55,6649.77,42319756.39,6362.62
6381.72,6362.65,6362.65,7025.55,44748554.88,6380.53
6384.52,6365.23,6380.5,6400.15,40805379.51,6369.79
6379.58,6368.56,6370.69,5493.84,35022387.12,6379.58
6385.03,6369.65,6380.23,6191.22,39482863.37,6371.55
6372.91,6351.69,6371.47,5259.97,33458368.4,6353.56
6358.45,6349.84,6353.56,6508.61,41351379.79,6350.15
6352.99,6347.61,6349.97,6931.12,44014163.54,6350.5
6359.06,6340.62,6350.5,6762.09,42940215.8,6358.04
6372.9,6356.6,6357.76,6912.8,44013267.69,6365.27
6366.13,6355.81,6365.35,5768.66,36698990.77,6358.8
6359.36,6347.93,6358.83,5519.85,35074115.8,6350.1
6355.1,6346.32,6350.1,5760.17,36583711.75,6354.17
6355.55,6340.08,6354.28,6325,40147091.93,6341.34
6346.02,6339.35,6341.2,5332.34,33824070.05,6341.44
6344.57,6331.34,6341.4,5773.86,36603755.07,6339.87
6341.95,6329.8,6339.88,5850.19,37073936.7,6330.9
