high,low,open,volumefrom,volumeto,close
8725.29,8381.76,8723.44,5117.02,43642628.06,8424.74
8430.54,8248.27,8424.87,5869.98,48909023.48,8325.4
8334.13,8214.18,8325.77,4121.4,34089481.08,8256.34
8364.28,8255.91,8257.46,2979.52,24791296.8,8290.56
8338.6,8214.8,8287.79,2581.32,21358855.08,8294.2
8298.42,7928.5,8298.34,6330.18,51056238.39,8019.29
8285.47,8029.28,8029.28,4863.74,39732378.13,8159.94
8278.04,8152.07,8156.48,2873.13,23600277.7,8185.12
8250.52,8031.84,8184.66,3425.27,27858617.97,8067.89
8171.5,8058.09,8067.87,2602.49,21100874.91,8096.34
8123.45,7743.97,8103.2,5769.43,45504273.89,7771.82
7959.76,7771.86,7771.86,4178.94,32942070.11,7869.46
7942.74,7821.58,7869.23,3282.16,25864256.37,7890.89
7908.33,7739.16,7890.89,3713.3,28986148.23,7785.74
7852.26,7661.31,7777.79,5424.66,42111595.04,7836.47
7937.77,7836.57,7837.1,3720.81,29388101.85,7883.68
8261.46,7803.49,7883.75,5110.9,40955426.94,8195.65
8292.63,8128.68,8190.99,4782.71,39227989.23,8196.79
8264.29,8055.09,8194.41,4030.29,32868578.98,8105.29
8273.14,8100.66,8107.45,3488.89,28547810.7,8238.75
8244.76,8138.36,8236.47,1774.68,14528447.94,8152.83
8419.81,8152.83,8152.83,3842.99,31816891.67,8384.01
8400.5,8277.76,8399.1,4039.7,33675952.44,8288.83
8287.63,7945.93,8286.62,6261.33,50443941.59,8099.66
8122.61,7962.26,8100.09,3696.16,29737859.78,8077.34
8227.35,8053.72,8073.85,3106.59,25333549.36,8139.77
8214.19,8080.28,8141.41,2259.2,18363577.01,8129.56
8303.98,8120,8130.95,2955.35,24279318.57,8217.4
8276.86,8195.22,8210.82,1895.79,15612558.52,8247.31
8313.83,8144.56,8248.01,2078.62,17115261.24,8294.2
8363.86,8248.81,8291.68,2355.27,19574021.72,8317.65
8327.84,8221.31,8316.81,1797.54,14868857.95,8243.52
8317.12,8047.8,8243.43,3189.44,26132527.99,8051.34
8089.16,7915.65,8049.55,4035.96,32341083.22,7986.27
8120.91,7964.68,7986.36,2901.28,23365263.34,8101.32
8147.57,8018.2,8101.87,2564.69,20725707.46,8039.09
8246.45,8028.12,8039.32,3108.74,25329440.39,8186.49
8250.51,8161.01,8186.17,3236.44,26566115.03,8182.12
8270.73,8153.16,8189.16,2445.09,20061159.57,8188.85
8281.52,8176.88,8188.84,2623.11,21596889.64,8241.44
8282.1,8183.81,8239.04,2982.27,24536553.49,8197.54
8200.39,8081.03,8195.96,3308.72,26920856.89,8167.41
8187.32,8069.16,8171.42,2185.92,17754245.21,8091.77
8204.55,8073.79,8091.61,2669.72,21740887.87,8194.4
8230.97,8159.67,8194.4,2695.45,22081804.4,8184.23
8498.2,8146.88,8185.25,6805,57158723.22,8449.7
8537.17,8410.92,8449.7,4166.89,35296228.66,8417.53
8592.73,8419.9,8420.16,4362.78,37118840.04,8532.71
8592.86,8477.01,8535.72,3504.12,29907290.74,8541.51
8565.8,8454.21,8541.41,2545.53,21699842.35,8458.26
8533.33,8444.25,8450.68,2183.1,18549534.98,8502.93
8582.67,8487.26,8502.9,2026.05,17276984.9,8539.85
8559.31,8488.8,8538.96,1713.05,14607512.51,8524.57
8528.09,8460.92,8521.16,1389,11793521.74,8498.62
8524.58,8462.16,8498.32,1567.22,13311652.25,8477
8501.24,8267.37,8475.57,3355.77,28086011.45,8293.26
8314.21,8234.88,8279.01,2788.65,23085775.34,8293.89
8314.86,8090.46,8294.02,3844.84,31431628.68,8131.3
8234.93,8100.73,8131.83,2806.98,22897719.61,8223.55
8230.94,8143.08,8223.52,2071.45,16975515.38,8196.22
8205.5,8084.61,8196.13,2838.8,23143196.58,8197.38
8201.8,8149.06,8197.9,1931.27,15771702.05,8150.55
8208.64,8116.18,8150.24,2263.43,18454019.51,8185.81
8226.17,8172.77,8184.06,1840.12,15082261.84,8190.93
8333.97,8149.46,8189.56,2466.44,20301524.95,8299.62
8314.55,8240.31,8298.88,2163.06,17916032.64,8267.72
8269.46,8220.78,8267.23,1607.98,13252697.11,8230.91
8281.78,8197.88,8232.13,1450.52,11963114.61,8204.09
8204.36,7992.12,8204.02,4601.47,37102503.16,8032.5
8066.76,7932.64,8034.52,3958.26,31650119.06,7986.1
8037.78,7951.78,7985.4,3122.12,24953303.81,7963.27
7979.92,7857.97,7964.26,3973.77,31369685.35,7891.43
7945.38,7863.99,7891.13,2726.64,21549288.89,7890.61
7965.48,7879.75,7886.84,2388.63,18917988.86,7917.75
7955.95,7783.74,7917.74,2892.67,22803722.72,7808.73
