high,low,open,volumefrom,volumeto,close
26140.5,25779.77,26000.75,5836.3,151618647.74,25903.48
26110.49,25641.21,25903.48,12718.97,328685962.21,26011.13
26311.78,25923.41,26011.13,6486.24,169396052.83,26124.37
26143.55,25993.21,26124.37,4400.17,114690670.44,26064.57
26243.04,26048.97,26064.57,3558.61,93069004.28,26083.76
26176.94,26063.98,26083.76,1511.52,39475245.77,26064.45
26119.22,26041.5,26064.45,1668.94,43521870.19,26072.04
26094.96,26007.85,26072.04,1597.95,41613720.36,26053.77
26153.76,26018.58,26053.77,1602.16,41793700.52,26098.64
26100.21,26016.15,26098.64,1489.64,38809530.3,26017.48
26066.04,26000.97,26017.48,1324.8,34479901.86,26003.48
26003.52,25925.59,26003.48,1536.36,39885512.65,25967.17
26008.57,25922.59,25967.17,1095.7,28455067.37,25988.13
25993.94,25876.2,25988.13,1570.6,40718196.94,25885.34
25927.91,25827.26,25885.34,1466.26,37943084.78,25836.59
25919.78,25803.09,25836.59,2117.71,54755929.45,25917.79
25998.19,25895.73,25917.79,1963.64,50957335.71,25933.44
25965.12,25885.8,25933.44,1407.4,36475385.44,25944.77
25958.55,25892.74,25944.77,1138.92,29530233.96,25909.96
25942.97,25895,25909.96,845.76,21915405.7,25901.25
25925.43,25873.78,25901.25,1185.83,30713554.89,25914.77
25979.99,25908.19,25914.77,1318.06,34195259.76,25925.85
26047.25,25921.17,25925.85,2070.61,53827667.25,25976.57
26223.76,25958.67,25976.57,4164.94,108715389.38,26215.17
26277.04,26118.35,26215.17,3158.42,82676186.32,26253.47
26253.57,26073.46,26253.47,2008,52472123.18,26088.51
26138.05,26028.98,26088.51,1502.44,39181135.28,26127.43
26159.55,26096.93,26127.43,735.61,19218862.42,26126.51
26156.05,26034.65,26126.51,1818.44,47448669.77,26057.2
26095.78,26051.15,26057.2,618,16113199.11,26085.38
26089.46,26051.52,26085.38,455.05,11864780.98,26054.58
26123.97,26054.02,26054.58,584.57,15252743.21,26100.1
26188.21,26082.38,26100.1,875.3,22877294.14,26181.66
26206.62,26047.56,26181.66,1251.35,32653539.84,26071.84
26107.42,26049.94,26071.84,690.39,18004731.94,26093.79
26141.65,26093.77,26093.79,911.63,23810302.62,26105.26
26131.01,26101.8,26105.26,938.1,24498461.89,26121.91
26160.38,26068.72,26121.91,1072.35,28010482.49,26091.96
26092.4,26049.07,26091.96,939.5,24493278.27,26064.03
26091.89,26061.13,26064.03,624.19,16279289.14,26087.7
26111.58,26059.33,26087.7,649.97,16953802.14,26111.58
26144.76,26094.19,26111.58,1077.92,28210138.73,26144.14
26157.57,26121.08,26144.14,1159.12,30296981.56,26148.97
26198.09,26133.53,26148.97,1307.4,34206740.54,26177.51
26197.55,26136.65,26177.51,834.51,21835616.02,26184.14
26216.8,26128.72,26184.14,1178.63,30846612.11,26136.41
26149.16,26063.02,26136.41,1578.14,41203817.62,26065.04
26136.79,25974.51,26065.04,2846.06,74144694.52,26106.27
26123.16,26004.72,26106.27,1167.42,30430293.24,26053.04
26162.12,26030.09,26053.04,1109.78,28966156.43,26124.16
26150.02,26106.74,26124.16,844.4,22067494.37,26113.64
26140.3,26109.11,26113.64,482.85,12612413.87,26137.16
26297.53,26137.16,26137.16,2522.68,66139954.05,26232.62
26242.56,26144.9,26232.62,1073.64,28108601.08,26176.7
26224.61,26176.7,26176.7,607.43,15915923.89,26209.93
26209.95,26148.91,26209.93,995.95,26062591.91,26189.93
26195.19,26120.38,26189.93,878.61,22974938.14,26142.01
26167.2,26086.01,26142.01,1360.03,35537672.77,26145.72
26160.29,26081.02,26145.72,1007.35,26307086.54,26097.2
26111.09,26071.05,26097.2,935.24,24401331.61,26090.75
26090.77,26044.73,26090.75,1036.96,27023249.4,26058.44
26188.53,26048.5,26058.44,1941.12,50691911.21,26103.85
26120.18,26032.82,26103.85,1335.45,34817569.31,26033.48
26050.64,26001.53,26033.48,1807.24,47038304.9,26023.63
26069.84,25985.78,26023.63,1372.81,35738191.29,26060.08
26087.86,26003.13,26060.08,1358.65,35391662.3,26029.24
26029.27,25883.58,26029.24,3837.08,99605594.24,25944.41
26044.12,25932.18,25944.41,1454.3,37773421.54,26031.67
26085.04,25994.97,26031.67,1803.89,46985919.8,26004.91
26142.62,25983.84,26004.91,2255.68,58756571.77,26129.32
26197.63,26059.17,26129.32,2839.55,74163078.84,26109.53
26133.46,25817.08,26109.53,7160.91,185660480.99,25940.3
26046.97,25938.46,25940.3,2394.81,62243903.25,26015.67
26075.86,26002.81,26015.67,1394.35,36308502.15,26051.18
26110.54,26027.44,26051.18,1241.17,32343583.12,26034.45
26161.86,26034.41,26034.45,2060.13,53767212.38,26097.45
26154.39,26091.73,26097.45,1303.99,34054137.27,26106.09
26252.58,26082.91,26106.09,1858.04,48646552.27,26195.94
26195.96,26132.49,26195.94,973.32,25461330.23,26132.5
26151.79,26115.62,26132.5,498,13013863.12,26126.79
26139.49,26095.01,26126.79,798.57,20856320.99,26100.03
26108.26,26050.46,26100.03,1114.58,29063184.1,26050.49
26069.89,26045.4,26050.49,653.36,17024533.33,26065.15
26073.74,26026.46,26065.15,1052.42,27409512.66,26055.88
