high,low,open,volumefrom,volumeto,close
8884.47,8825.43,8843.74,15032.37,133267689.71,8871
8922.67,8848.28,8871,20133.9,178864826.73,8870.96
8907.65,8854.13,8870.96,11290.94,100258620.17,8890.31
8927.79,8879.04,8890.31,12514.82,111424207.58,8906.97
8952.99,8901.04,8906.97,12018.69,107340099.23,8939.01
8996.57,8938.8,8939.01,12389.22,111184954.78,8960.37
8980.02,8913.71,8960.37,14239.66,127387964.01,8970.85
9037.19,8950.28,8970.85,17482.99,156998209.17,9022.6
9033.02,8919.84,9022.6,18364.34,164870974.5,8944.78
8988.6,8938.66,8944.78,10164.37,91145787.37,8979.33
8979.61,8942.31,8979.33,11155.85,99936466.23,8970.34
9063.33,8961.56,8970.34,32281.89,290687707.06,8979.1
9044.87,8968.14,8979.1,18684.39,168500553.96,9002.79
9036.36,8983.77,9002.79,15440.34,139186252.75,9005.7
9040.94,9002.67,9005.7,14137.24,127581376.01,9023.23
9045.86,8998.68,9023.23,16058.46,144925116.86,9020.78
9086.96,9013.54,9020.78,27333.79,247387209.32,9037.26
9088.94,9036.79,9037.26,20279.49,183833668.32,9086.17
9245.36,9064.4,9086.17,65578.69,602719206.39,9227.61
9339.96,9196.81,9227.61,37043,342930592.74,9315.14
9370.86,9219.08,9315.14,39755.69,369114125.03,9223.91
9266.2,9145.05,9223.91,34497.21,317395339.53,9223.25
9246.78,9194.42,9223.25,22422.62,206710216.27,9227.55
9288.57,9223.49,9227.55,20422.43,189096697.56,9272.69
9309.4,9228.59,9272.69,20673.58,191556755.75,9267.77
9281.61,9226.68,9267.77,24121.51,223124145.52,9263.77
9264.7,9206.26,9263.77,13614.72,125646501.49,9235.16
9274.89,9227.76,9235.16,13101.46,121134503.83,9240.79
9248.74,9209.37,9240.79,12382.96,114313008.18,9236.32
9284.16,9235.92,9236.32,9612.49,89072405.06,9276.29
9369.71,9276.29,9276.29,23192.81,216179422.13,9352.85
9384.59,9131.28,9352.85,35043.47,324451919.01,9141.24
9199.01,9071.85,9141.24,39329.49,359700706.28,9184.15
9243.09,9183.72,9184.15,24674.14,227450153.97,9222.86
9361.02,9197.47,9222.86,22814.01,211893785.25,9327.6
9342.5,9263.84,9327.6,18571.57,172671275,9292.59
9314.59,9249.9,9292.59,14621.45,135797063.86,9274.44
9306.7,9236.7,9274.44,14689.32,136298481.32,9269.35
9300.55,9243.51,9269.35,12663.44,117476243.21,9248.37
9312.53,9238.05,9248.37,16276.54,151091508.12,9308.35
9331.3,9273.95,9308.35,16003.55,148875384.19,9331.11
9334.54,9274.4,9331.11,17026.07,158351889.14,9312.51
9319.73,9270.78,9312.51,15767.97,146517484.73,9291.57
9299.52,9258.08,9291.57,14552.48,135035852.92,9280.9
9370.05,9262.84,9280.9,22030.18,205319150.97,9369.54
9542.83,9332.11,9369.54,75453.64,714245460.27,9495.49
9533.1,9485.5,9495.49,29669.24,282127189.26,9498.45
9560.88,9409.23,9498.45,37541.85,356018950.55,9509.4
9629.02,9508.3,9509.4,29952.64,286370629.12,9626.79
9868.58,9626.72,9626.79,76304.92,744689264.31,9826.63
9837.39,9759.38,9826.63,28883.99,283135508.75,9793.76
9947.57,9793.57,9793.76,39255.62,387760500.68,9864.93
9886.47,9738.59,9864.93,26943.81,264761047.77,9786.6
9882.15,9754.57,9786.6,16811.12,164972211.96,9872.93
9920.95,9835.04,9872.93,20302.54,200427317.46,9884.46
10037.06,9856.74,9884.46,57545.09,573654627.84,9979.7
10027.28,9889.76,9979.7,33958.62,338122604.93,10012.21
10018.53,9929.68,10012.21,23186.8,231245678.49,9986.52
9988.44,9866.3,9986.52,22434.27,222623217.16,9904.31
9942.21,9840.2,9904.31,21234.55,210101475.77,9925.81
9930.49,9872.53,9925.81,18351.28,181697419.44,9912.07
9913.58,9833.1,9912.07,20782.88,205379290.91,9868.71
9868.84,9753.34,9868.71,32667.61,320451360.21,9760.6
9820.19,9723.41,9760.6,29308.59,286379167.77,9810.27
9892.41,9809.44,9810.27,18270.67,179893581.68,9857.06
9870.91,9819.01,9857.06,13020.57,128207064.63,9834.66
9951.32,9818.86,9834.66,20430.36,202150958.16,9947.65
9947.72,9876.42,9947.65,22048.65,218513545.13,9893.88
9909.07,9803.01,9893.88,22394.55,220661531.02,9829.33
9893.18,9821.85,9829.33,13386.83,132055999.25,9880.96
9983.61,9869.53,9880.96,24202.69,240439736.36,9951.68
10000.39,9918.74,9951.68,33558.8,334769399.43,9937.34
9995.27,9921.71,9937.34,19158.49,190971436.15,9970.77
9975.57,9920.2,9970.77,20060.16,199524226.29,9965.88
9975.4,9899.19,9965.88,13334.11,132644903.63,9901.33
9958.17,9885.56,9901.33,16179.96,160621368.09,9944.89
9983.63,9923.34,9944.89,12501.99,124403740.48,9979.34
9991.81,9957.83,9979.34,8601.51,85797324.41,9991.33
9996.45,9870.62,9991.33,17734.52,176276391.96,9872.2
9909.87,9799.44,9872.2,28211.18,278040385.39,9804.98
9882.25,9748.28,9804.98,21148.53,207776442.31,9869.35
9914.01,9846.32,9869.35,12825.94,126762257.83,9852.47
9870.08,9829.43,9852.47,12324.32,121394189.4,9848.59
9884.41,9848.47,9848.59,10020.82,98899629.69,9863.55
9875.41,9787.37,9863.55,17139.23,168433339.14,9825.89
9837.38,9768.17,9825.89,23405.59,229479025.17,9830.81
9832.1,9679.97,9830.81,26387.34,257388734.55,9699.1
9735.67,9577.9,9699.1,30929.01,298902368.43,9602.81
9693.23,9596.54,9602.81,26308.72,254217058.65,9676.49
9717.19,9650.09,9676.49,25990.29,251710783.05,9692.51
9693,9572.15,9692.51,44357.31,426827575.76,9632.45
9653.47,9533.19,9632.45,48859.9,468610112.34,9630.25
9690.32,9611.03,9630.25,33063.83,319253497.83,9668.73
9715.98,9627.53,9668.73,28805.55,278541788.9,9715.94
9717.77,9668.99,9715.94,31574.96,305986875.08,9693.31
9696.61,9630.7,9693.31,35912.26,346981576.72,9688.12
9767.85,9673.38,9688.12,42176.36,410482900.35,9756.11
9786.12,9730.18,9756.11,28369.63,276699206.14,9775.62
9783.61,9724.05,9775.62,23899.1,233187755.32,9735.84
9768.88,9730.02,9735.84,18220.24,177661841.22,9743.24
9767.86,9619.45,9743.24,38409.44,372270474.16,9649.53
9659.07,9594.89,9649.53,31564.61,304039319.98,9609.05
9674.04,9575.26,9609.05,30864.18,297083035.19,9604.06
9631.59,9531.04,9604.06,46534,445938069.33,9544.47
9560.24,8400.69,9544.47,143301.62,1276302908.69,8746.16
8836.06,8602.43,8746.16,65678.47,571580988.42,8714.91
8717.06,8644.8,8714.91,31549.03,273826678.44,8662.92
8666.85,8392.75,8662.92,56518.78,484850390.59,8630.98
8630.98,8487.31,8630.98,39948.7,341436907.29,8550.71
8652.55,8549.57,8550.71,29103.71,250683017.51,8623.45
8629.11,8571.12,8623.45,22999.8,197784860.94,8602.88
8829.54,8598.15,8602.88,41973.6,366567564.83,8819.94
8891.44,8784.97,8819.94,44085.01,389479944.36,8816.8
8847.05,8781.23,8816.8,22744.21,200465423.66,8781.64
8826.82,8718.27,8781.64,37211.92,326474271.32,8811.83
8814.37,8673.46,8811.83,27991.78,244344073.21,8735.1
8772.53,8691.22,8735.1,19894.29,173824685.82,8718.94
8805.78,8696.42,8718.94,21465.06,188160944.8,8774.29
8786.66,8654.89,8774.29,25791.45,224977613.15,8660.02
8712.1,8594.25,8660.02,39619.89,342844367.72,8643.7
8680.96,8326.24,8643.7,72808.12,619555343.79,8327.57
8543.72,8317.08,8327.57,61011.15,516026060.34,8527.06
8565.22,8439.51,8527.06,38828.94,330331890.54,8489.4
8554.93,8487.6,8489.4,21984.49,187383790.88,8517.84
8761.06,8512.58,8517.84,44438.49,386979878.64,8675.64
8771.5,8675.25,8675.64,18724.97,163256596.02,8718.68
8790.41,8691.63,8718.68,21238.44,185613754.85,8775.8
8829.55,8579.27,8775.8,51288.92,446486598.55,8740.28
8800.33,8708.57,8740.28,28127.23,246431564.8,8767.52
8772.26,8690.34,8767.52,18057.2,157598832.35,8711.17
8757.47,8697.9,8711.17,16768.2,146500049.85,8746.65
8766.97,8671.82,8746.65,23326.72,203210808.15,8697.28
8708.23,8628.12,8697.28,29180.77,253314167.68,8634.2
8695,8621.96,8634.2,19878.81,172092043.6,8690.26
8728.55,8668.89,8690.26,18851.36,163968366.07,8683.16
8704.55,8631.36,8683.16,21206.17,183825416.34,8663.75
8682.48,8580.22,8663.75,26986.1,232685635.09,8635.83
8637.35,8488.35,8635.83,28325.07,242436900.19,8489.67
8857.08,8485.57,8489.67,51686.75,450651135.64,8797.15
8969.68,8755,8797.15,39515.25,350166778.1,8921.09
9136.77,8870.81,8921.09,88056.25,792878883.4,8880.2
8952.32,8789.82,8880.2,41498.57,367858235.17,8842.17
8931.3,8842.17,8842.17,26282.51,233590846.19,8863.48
8954.06,8822.35,8863.48,28504.24,253664042.3,8879.47
8915.18,8511.16,8879.47,59152.21,512543293.66,8599.47
8656.19,8461.85,8599.47,54303.64,465255975.74,8487.8
8584.58,8277.62,8487.8,74164.6,624621853.26,8577
8730.01,8451.05,8577,52539.23,449729630.17,8727.59
8755.54,8580.88,8727.59,36207.85,314322691.34,8629.88
8690.1,8486.97,8629.88,19127.52,164224798.68,8576.43
8640.92,8539.14,8576.43,23174.68,199207211.79,8602.49
8634.82,8507.93,8602.49,24435.07,209419443.61,8573.94
8672.03,8538.22,8573.94,22955.51,197677975.98,8610.69
8636.68,8569.71,8610.69,16318.16,140361066.02,8617.67
8678.88,8597.89,8617.67,15730.8,135772623.29,8635.81
8737.03,8635.27,8635.81,18100.48,157314330.46,8717.5
8744.68,8669.79,8717.5,16091.35,140103192.61,8704.44
8777.32,8704.14,8704.44,18115.69,158430945.43,8733.62
8758.11,8666.55,8733.62,15873.35,138160972.01,8701.59
8715.54,8623.72,8701.59,15615.38,135235488.52,8656.51
8760.34,8637.87,8656.51,20817.98,181697519.53,8745.08
8819.24,8745.07,8745.08,25120.09,220701763.63,8784.85
8815.52,8737.34,8784.85,19234.13,168697840.51,8779.15
8808.47,8728.78,8779.15,15767.46,138145953.52,8800.26
8818.94,8739.67,8800.26,16966.74,148706144.86,8775.61
8795.91,8677.35,8775.61,21040.44,183594132.47,8730.45
8905.97,8730.45,8730.45,38072.47,336980504.46,8883.72
8936.02,8858.22,8883.72,26583.89,236340993.46,8869.8
8941.65,8867.9,8869.8,23034.35,205377019.12,8922.64
8966.6,8835.35,8922.64,30680.39,273577133.47,8876.04
8906.17,8837.24,8876.04,14149.16,125597901.42,8894.07
8922.79,8795.98,8894.07,17208.21,152634200.55,8799.4
8838.73,8775.13,8799.4,18520.03,163036690.93,8820.28
8848.16,8745.62,8820.28,13258.09,116748107.64,8758.32
8824.32,8758.32,8758.32,11794,103761571.5,8809.86
8839.52,8781.19,8809.86,11925.57,105072684.08,8812.32
8936.1,8795.44,8812.32,21345.24,189896353.27,8933.14
8949.94,8896.84,8933.14,15150.5,135175658.38,8941.82
