high,low,open,volumefrom,volumeto,close
19288.48,19121.78,19270.22,20385.33,391422337.03,19143.5
19353.28,19123.16,19143.5,19348.06,372162274.62,19322.24
19328.55,19191.84,19322.24,15292.82,294649054.76,19220.69
19261.88,19193.05,19220.69,14954.54,287500322.7,19212.6
19256.69,19211.73,19212.6,7259.94,139657328.97,19240.26
19279.81,19225.47,19240.26,5488.12,105625277.4,19245.07
19249.88,19033.73,19245.07,19630.69,375465264.39,19131.32
19195.89,19123.74,19131.32,10207.3,195580107.53,19134.42
19134.63,18962.39,19134.42,25220.51,479938905.41,19035.58
19065.67,18964.19,19035.58,13182.45,250830882.93,19031.32
19058.26,18960.77,19031.32,11643.86,221454653.31,19057.13
19091.91,19034.23,19057.13,8471.62,161460243.64,19044.44
19077.2,19016.23,19044.44,8193.87,155995353.38,19042.1
19073.68,19025.21,19042.1,8067.21,153668217.65,19032.58
19113.36,19013.84,19032.58,12021.23,229181965.56,19057
19109.85,19029.1,19057,12794.71,244030320.75,19083.94
19138.1,19081.04,19083.94,12143.04,232101252.15,19107.19
19117.12,19033.32,19107.19,10043.55,191606454.93,19065
19104.36,19043.25,19065,9899.3,188878498.01,19093.03
19152.98,19072.43,19093.03,10540.69,201364754.69,19149.31
19266.12,19136.76,19149.31,19738.57,379047223.38,19147.9
19167.5,18984.79,19147.9,25212.5,481635700.69,18998.85
19092.43,18868.88,18998.85,31465.41,597274074.21,19033.23
19195.31,19030.93,19033.23,20260.84,387440058.64,19148.22
19183.22,19087.9,19148.22,20370.09,389753795.5,19154.59
19160.94,19105.25,19154.59,18027.47,344934520.43,19128
19134.48,18946.68,19128,21265.72,405157612.08,18973.45
19037.61,18923.03,18973.45,24266.83,460968615.36,18999.49
19058.41,18987.91,18999.49,11039.65,210040067.67,19020.65
19049.88,18996.26,19020.65,8309,158069926.83,19006.09
19056.25,18997.09,19006.09,10572.37,201224508.89,19040.58
19063.09,19008.34,19040.58,10896.57,207442733.25,19059.8
19129.9,19027.07,19059.8,14870.55,283787852.13,19094.02
19098.72,19031.37,19094.02,10025.93,191116970.97,19063.23
19079.48,19032.32,19063.23,8595.95,163820808.3,19066.63
19088.73,19043.69,19066.63,7276.32,138722993.71,19048.4
19121.64,19044.18,19048.4,11081.04,211595423.56,19099.42
19144.46,19070.63,19099.42,9910.91,189289113.79,19114.79
19200.45,19091.67,19114.79,13770.3,263616621.58,19152.11
19163.21,19082.39,19152.11,13362.97,255506605.41,19112.49
19154.73,19090.48,19112.49,11357.37,217249890.77,19142.03
19198.94,19136.51,19142.03,12224.69,234350169.51,19171.26
19186.39,19125.05,19171.26,10481.32,200748337.99,19152.63
19168.26,19107.94,19152.63,9892.08,189347817.09,19114.14
19159.55,18983.13,19114.14,26380.96,503213327.62,19075.06
19152.45,19035.92,19075.06,28243.39,539295432.98,19118.38
19137.68,19062.66,19118.38,19300.22,368607985.16,19092.77
19149.15,19087.76,19092.77,15875.71,303466835.08,19139.36
19152.19,19080.31,19139.36,14297.42,273252354.37,19098.31
19113.87,19064.18,19098.31,10616.28,202700104.54,19089.82
19159.66,19049.92,19089.82,23109.3,441887910.41,19116.8
19176.31,19101.38,19116.8,12726.47,243505994.08,19137.35
19171.25,19132.37,19137.35,7558.92,144719624.28,19170.61
19193.91,19162.73,19170.61,6437.37,123458738.95,19180.63
19230.49,19153.55,19180.63,9661.16,185370387.27,19154.23
19171.78,19145.05,19154.23,6045.36,115813385.65,19154.88
19173.73,19128.8,19154.88,8257.22,158138745.66,19150.66
19155.47,19091.51,19150.66,9432.39,180382600.59,19107.13
19110.99,19024.35,19107.13,14622.95,278903808.56,19087.36
19114.88,19077.28,19087.36,7375.91,140846325.17,19088.91
19096.99,19069.72,19088.91,7213.87,137665522.21,19093.18
19111.11,19042.29,19093.18,10901.31,208023919.65,19089.85
19099.66,19046.43,19089.85,11198.68,213616840.45,19060.27
19061.36,18954.44,19060.27,22148.39,421084219.68,19008.91
19038.09,18964.2,19008.91,12825.46,243759704.27,19010.45
19032.22,18979.04,19010.45,9828.26,186839158,18990.31
19003.32,18589.14,18990.31,36881.73,691313419.87,18690.39
